Iridium Bar,"[('Iridium Sprinkler', '1'), ('Deluxe Fertilizer (5)', '1'), ('Iridium Band', '5'), ('Wedding Ring', '5'), ('Crystalarium', '2'), ('Slime Incubator', '2'), ('Hopper', '1')]"
Battery Pack,"[('Iridium Sprinkler', '1'), ('Wood Lamp-post', '1'), ('Iron Lamp-post', '1'), ('Crystalarium', '1'), ('Slime Egg-Press', '1'), ('Mini-Jukebox', '1'), ('Farm Computer', '1')]"
Sap,"[('Basic Fertilizer', '2'), ('Quality Fertilizer', '2'), ('Deluxe Fertilizer (5)', '40'), ('Fiber Seeds (4)', '5'), ('Trap Bobber', '10'), ('Quality Bobber', '20'), ('Torch', '2')]"
Slime,"[('Oil Maker', '50'), ('Cork Bobber', '10'), ('Wild Bait (5)', '5'), ('Sturdy Ring', '25'), ('Monster Musk', '30'), ('Slime Incubator', '100')]"
Bone Fragment,"[('Hyper Speed-Gro', '3'), ('Thorns Ring', '50'), ('Skull Brazier', '10'), ('Ostrich Incubator', '50'), ('Bone Mill', '10'), ('Dark Sign', '5')]"
Clay,"[('Quality Retaining Soil (2)', '1'), ('Deluxe Retaining Soil', '1'), ('Fiber Seeds (4)', '1'), ('Brick Floor (5)', '2'), ('Bone Mill', '3'), ('Garden Pot', '1')]"
Bug Meat,"[('Bait (5)', '1'), ('Wild Bait (5)', '5'), ('Magic Bait (5)', '3'), ('Sturdy Ring', '25'), ('Bug Steak', '10')]"
Copper Ore,"[('Cherry Bomb', '4'), ('Furnace', '20'), ('Flute Block', '2'), ('Drum Block', '2')]"
Pine Tar,"[('Loom', '1'), ('Speed-Gro (5)', '1'), ('Rain Totem', '5')]"
Diamond,"[('Ring of Yoba', '1'), ('Fairy Dust', '1'), ('Geode Crusher', '1')]"
Bat Wing,"[('Monster Musk', '30'), ('Lightning Rod', '5'), ('Dark Sign', '5')]"
Void Essence,"[('Mega Bomb', '1'), ('Iridium Band', '50')]"
Oak Resin,"[('Keg', '1'), ('Deluxe Speed-Gro (5)', '1')]"
Coral,"[('Deluxe Speed-Gro (5)', '1'), ('Warp Totem: Beach', '2')]"
Radioactive Ore,"[('Hyper Speed-Gro', '1'), ('Magic Bait (5)', '1')]"
Iridium Ore,"[('Warp Totem: Desert', '4'), ('Deluxe Scarecrow', '1')]"
Radioactive Bar,"[('Heavy Tapper', '1'), ('Hopper', '1')]"
Iron Ore,"[('Bomb', '4')]"
Gold Ore,"[('Mega Bomb', '4')]"
Earth Crystal,"[('Mayonnaise Machine', '1')]"
Maple Syrup,"[('Bee House', '1')]"
Any Fish,"[('Quality Fertilizer', '1')]"
Clam,"[('Speed-Gro (5)', '1')]"
Wild Horseradish,"[('Wild Seeds (Sp) (Spring Seeds)', '1')]"
Daffodil,"[('Wild Seeds (Sp) (Spring Seeds)', '1')]"
Leek,"[('Wild Seeds (Sp) (Spring Seeds)', '1')]"
Dandelion,"[('Wild Seeds (Sp) (Spring Seeds)', '1')]"
Spice Berry,"[('Wild Seeds (Su) (Summer Seeds)', '1')]"
Grape,"[('Wild Seeds (Su) (Summer Seeds)', '1')]"
Sweet Pea,"[('Wild Seeds (Su) (Summer Seeds)', '1')]"
Common Mushroom,"[('Wild Seeds (Fa) (Fall Seeds)', '1')]"
Wild Plum,"[('Wild Seeds (Fa) (Fall Seeds)', '1')]"
Hazelnut,"[('Wild Seeds (Fa) (Fall Seeds)', '1')]"
Blackberry,"[('Wild Seeds (Fa) (Fall Seeds)', '1')]"
Winter Root,"[('Wild Seeds (Wi) (Winter Seeds)', '1')]"
Crystal Fruit,"[('Wild Seeds (Wi) (Winter Seeds)', '1')]"
Snow Yam,"[('Wild Seeds (Wi) (Winter Seeds)', '1')]"
Crocus,"[('Wild Seeds (Wi) (Winter Seeds)', '1')]"
Ancient Seed,"[('Ancient Seeds', '1')]"
Wild Seeds (Any),"[('Tea Sapling', '2')]"
Mixed Seeds,"[('Fiber Seeds (4)', '1')]"
Cloth,"[('Dressed Spinner', '1')]"
Frozen Tear,"[('Warrior Ring', '10')]"
Prismatic Shard,"[('Wedding Ring', '1')]"
Acorn,"[('Field Snack', '1')]"
Maple Seed,"[('Field Snack', '1')]"
Pine Cone,"[('Field Snack', '1')]"
Red Mushroom,"[('Life Elixir', '1')]"
Purple Mushroom,"[('Life Elixir', '1')]"
Morel,"[('Life Elixir', '1')]"
Chanterelle,"[('Life Elixir', '1')]"
Garlic,"[('Oil of Garlic', '10')]"
Oil,"[('Oil of Garlic', '1')]"
Fairy Rose,"[('Fairy Dust', '1')]"
Honey,"[('Warp Totem: Farm', '1')]"
Coconut,"[('Warp Totem: Desert', '1')]"
Dragon Tooth,"[('Warp Totem: Island', '1')]"
Ginger,"[('Warp Totem: Island', '1')]"
Truffle Oil,"[('Rain Totem', '1')]"
Marble,"[('Marble Brazier', '1')]"
Aquamarine,"[('Marble Brazier', '1')]"
Pumpkin,"[('Jack-O-Lantern', '1')]"
Torch,"[('Jack-O-Lantern', '1')]"
Cinder Shard,"[('Ostrich Incubator', '20')]"
Fire Quartz,"[('Slime Egg-Press', '1')]"
Tulip Bulb,"[(""Tub o' Flowers"", '1')]"
Jazz Seeds,"[(""Tub o' Flowers"", '1')]"
Poppy Seeds,"[(""Tub o' Flowers"", '1')]"
Spangle Seeds,"[(""Tub o' Flowers"", '1')]"
Dwarf Gadget,"[('Farm Computer', '1')]"
